park_id,park_name,feature_source,feature_name,feature_category,series_id,latitude,longitude
35,Fawkner Park,tree,Port Jackson or Rusty Fig,nature,1,-37.84291817,144.9819475
128,Warun Biik Park,tree,Willow Leaf Peppermint,nature,1,-37.7963394,144.9259483
128,Warun Biik Park,tree,Gossamer Wattle,nature,1,-37.79657865,144.926125
47,Grant Street Reserve,tree,Swamp Gum,nature,1,-37.82577313,144.9689524
119,Sturt Street Reserve,tree,Lemon Scented Gum,nature,1,-37.8296524,144.964574
47,Grant Street Reserve,tree,Black She Oak,nature,1,-37.82597244,144.9684934
35,Fawkner Park,tree,Grey Poplar,nature,1,-37.84480016,144.9825689
35,Fawkner Park,tree,River red gum,nature,1,-37.84307206,144.9838629
35,Fawkner Park,tree,Ironbark,nature,1,-37.84007379,144.9821431
35,Fawkner Park,tree,Lombardy Poplar,nature,1,-37.84303094,144.9815046
29,Eades Park,tree,Ironbark,nature,1,-37.8070002,144.9510446
35,Fawkner Park,tree,Aleppo Pine,nature,1,-37.84213666,144.9794871
35,Fawkner Park,tree,Toromeo,nature,1,-37.84525091,144.9838179
35,Fawkner Park,tree,Queensland kauri pine,nature,1,-37.84195098,144.984223
35,Fawkner Park,tree,Purple Branched Elm,nature,1,-37.83860955,144.978569
35,Fawkner Park,tree,Prickly Paperbark,nature,1,-37.8417866,144.9793449
53,Ievers Reserve,tree,Cyprus Plane,nature,1,-37.79479087,144.9543697
101,Royal Park,tree,Canary Island Date Palm,nature,1,-37.7878771,144.9535209
35,Fawkner Park,tree,River Sheoak,nature,1,-37.84196108,144.9795203
101,Royal Park,tree,Manna Gum,nature,1,-37.79428053,144.9530921
47,Grant Street Reserve,tree,Drooping sheoak,nature,1,-37.82603255,144.9682071
53,Ievers Reserve,tree,Desert Ash,nature,1,-37.7954928,144.953571
126,Victoria Green,tree,Spotted Gum,nature,1,-37.82063122,144.945043
101,Royal Park,tree,Bangalay,nature,1,-37.78646504,144.945591
126,Victoria Green,tree,Yellow Box,nature,1,-37.82015499,144.9450456
78,North Melbourne Community Centre,tree,Variegated Elm,nature,1,-37.79283636,144.9394737
7,Bedford Street Reserve,tree,Huntingdon Elm,nature,1,-37.80292406,144.955573
126,Victoria Green,tree,Brittle Gum,nature,1,-37.82021486,144.9447545
9,Buluk Park,tree,Freeman Maple,nature,1,-37.82072452,144.9406893
27,Docklands Park,tree,Port Jackson or Rusty Fig,nature,1,-37.81971213,144.9460282
27,Docklands Park,tree,Smooth-barked apple,nature,1,-37.81973903,144.9465967
74,Miles & Dodds Street Reserve,tree,Willow Gum,nature,1,-37.82866068,144.9673479
47,Grant Street Reserve,tree,Black Wattle,nature,1,-37.82605231,144.9680921
47,Grant Street Reserve,tree,Lightwood Wattle,nature,1,-37.82611146,144.9682062
74,Miles & Dodds Street Reserve,tree,Hoop Pine,nature,1,-37.82864737,144.9673131
47,Grant Street Reserve,tree,Snow Gum,nature,1,-37.82586823,144.9688664
47,Grant Street Reserve,tree,Scented Paperbark,nature,1,-37.82605002,144.968447
37,Flagstaff Gardens,tree,Tupelo,nature,1,-37.80911146,144.9551453
122,The Kings Domain Reserve,flower,Perennial,nature,1,-37.82621878989762,144.975466491667
8,Birrarung Marr,flower,Perennial,nature,1,-37.81925290442416,144.97487910253946
37,Flagstaff Gardens,flower,Perennial,nature,1,-37.81003806739087,144.95395758956238
135,Womens Peace Gardens,flower,Mulch,nature,1,-37.79121024161001,144.92429603249184
36,Fitzroy Gardens,flower,Bulb understorey,nature,1,-37.81513501138215,144.98018762526866
119,Sturt Street Reserve,flower,Perennial,nature,1,-37.82953900961752,144.9647433076092
14,Carlton Gardens North,flower,Perennial,nature,1,-37.80139208685708,144.9704321830402
8,Birrarung Marr,flower,Bioretention,nature,1,-37.820549187264206,144.97562605720876
43,Golden Elm Reserve,flower,Bulb understorey,nature,1,-37.83066955075801,144.98756423850452
8,Birrarung Marr,flower,Hedge,nature,1,-37.81878703358064,144.97565217765214
15,Carlton Gardens South,flower,Mulch,nature,1,-37.805098624534,144.96947138434837
37,Flagstaff Gardens,flower,Hedge,nature,1,-37.81076280578117,144.95352275697778
15,Carlton Gardens South,flower,Groundcover,nature,1,-37.80612343556589,144.97261951517942
14,Carlton Gardens North,flower,Hedge,nature,1,-37.80091438290789,144.97059229997365
56,Kensington Banks Small Reserves,flower,Hedge,nature,1,-37.79645252446895,144.92058679144336
1,Alexandra Gardens,flower,Bioretention,nature,1,-37.8204933228831,144.97283741271352
109,Shrine of Remembrance Reserve,flower,Hedge,nature,1,-37.82910706880224,144.97255856068452
37,Flagstaff Gardens,flower,Annual,nature,1,-37.8099424930385,144.95389145155792
78,North Melbourne Community Centre,flower,Mulch,nature,1,-37.79273043144477,144.9394968556044
27,Docklands Park,flower,Bioretention,nature,1,-37.82215564689785,144.94725830370427
101,Royal Park,flower,Hedge,nature,1,-37.79202584848849,144.95793106548723
