park_id,park_name,ha,latitude,longitude,st_point,description
28,Dynon Road Nature Reserve,0.0082,-37.801589516464865,144.91368302408446,POINT(144.91368302408446 -37.801589516464865),"Dynon Road Nature Reserve is a public park in Melbourne, Melbourne."
29,Eades Park,0.7108,-37.80723061432889,144.95147882918252,POINT(144.95147882918252 -37.80723061432889),"Eades Park is a public park in Melbourne, Melbourne."
30,Eight Hour Reserve,0.1406,-37.80730644775974,144.9655234292752,POINT(144.9655234292752 -37.80730644775974),"Eight Hour Reserve is a public park in Melbourne, Melbourne."
31,Enterprize Park,0.9008,-37.82031035351093,144.95944133760204,POINT(144.95944133760204 -37.82031035351093),"Enterprize Park is a public park in Melbourne, Melbourne."
32,Errol Street Reserve,0.4911,-37.79953775378882,144.95044993241362,POINT(144.95044993241362 -37.79953775378882),"Errol Street Reserve is a public park in Melbourne, Melbourne."
33,Eureka Reserve,0.0455,-37.82135319653195,144.9648893380308,POINT(144.9648893380308 -37.82135319653195),"Eureka Reserve is a public park in Melbourne, Melbourne."
34,Exhibition Street Reserve,0.0252,-37.80750172286748,144.9685926811436,POINT(144.9685926811436 -37.80750172286748),"Exhibition Street Reserve is a public park in Melbourne, Melbourne."
35,Fawkner Park,41.1885,-37.84103061438385,144.98174178026838,POINT(144.98174178026838 -37.84103061438385),"Fawkner Park is a public park in Melbourne, Melbourne."
36,Fitzroy Gardens,26.2848,-37.81296164888416,144.98045579973143,POINT(144.98045579973143 -37.81296164888416),"Fitzroy Gardens is a public park in Melbourne, Melbourne."
37,Flagstaff Gardens,7.3521,-37.81045611438672,144.95443421269437,POINT(144.95443421269437 -37.81045611438672),"Flagstaff Gardens is a public park in Melbourne, Melbourne."
38,Flinders & Spencer Street Reserve,0.0464,-37.820911221301834,144.95468046329796,POINT(144.95468046329796 -37.820911221301834),"Flinders & Spencer Street Reserve is a public park in Melbourne, Melbourne."
39,Galada Avenue Reserve,1.333,-37.780026876933206,144.9401384374531,POINT(144.9401384374531 -37.780026876933206),"Galada Avenue Reserve is a public park in Melbourne, Melbourne."
40,Gardiner Reserve,0.5287999999999999,-37.79911492064341,144.94373392032597,POINT(144.94373392032597 -37.79911492064341),"Gardiner Reserve is a public park in Melbourne, Melbourne."
41,Garrard St Reserve,0.1159,-37.779227177570114,144.9419885988235,POINT(144.9419885988235 -37.779227177570114),"Garrard St Reserve is a public park in Melbourne, Melbourne."
42,Gillott Reserve/Tianjin Gardens,0.1652,-37.80979527931674,144.97250183418475,POINT(144.97250183418475 -37.80979527931674),"Gillott Reserve/Tianjin Gardens is a public park in Melbourne, Melbourne."
43,Golden Elm Reserve,0.0756,-37.83069805971408,144.9875326894813,POINT(144.9875326894813 -37.83069805971408),"Golden Elm Reserve is a public park in Melbourne, Melbourne."
44,Gordon Reserve,0.37760000000000005,-37.81230515005907,144.9740235456232,POINT(144.9740235456232 -37.81230515005907),"Gordon Reserve is a public park in Melbourne, Melbourne."
45,Goschs Paddock,0.4149,-37.82803187471889,144.98778107775814,POINT(144.98778107775814 -37.82803187471889),"Goschs Paddock is a public park in Melbourne, Melbourne."
46,Grant Street Playground Reserve,0.0027,-37.825987222895535,144.96838210272202,POINT(144.96838210272202 -37.825987222895535),"Grant Street Playground Reserve is a public park in Melbourne, Melbourne."
47,Grant Street Reserve,0.254,-37.82589054117261,144.96858343929145,POINT(144.96858343929145 -37.82589054117261),"Grant Street Reserve is a public park in Melbourne, Melbourne."
48,Hardy Reserve,0.9723,-37.78539834688024,144.96646306665653,POINT(144.96646306665653 -37.78539834688024),"Hardy Reserve is a public park in Melbourne, Melbourne."
49,Hawke & Adderley Street Park,0.0812,-37.80864899566088,144.94487688627024,POINT(144.94487688627024 -37.80864899566088),"Hawke & Adderley Street Park is a public park in Melbourne, Melbourne."
50,Hawke & Curzon Street Reserve,0.1274,-37.806078887225986,144.94768448942233,POINT(144.94768448942233 -37.806078887225986),"Hawke & Curzon Street Reserve is a public park in Melbourne, Melbourne."
51,Hawke & King Street Reserve,0.0573,-37.80545871327271,144.94909071389947,POINT(144.94909071389947 -37.80545871327271),"Hawke & King Street Reserve is a public park in Melbourne, Melbourne."
52,Howard & William Street Reserve,0.1848,-37.80644297476642,144.9536077648639,POINT(144.9536077648639 -37.80644297476642),"Howard & William Street Reserve is a public park in Melbourne, Melbourne."
53,Ievers Reserve,1.3659,-37.79596002174714,144.95316601448351,POINT(144.95316601448351 -37.79596002174714),"Ievers Reserve is a public park in Melbourne, Melbourne."
54,J J Holland Park,1.2166,-37.797074763947734,144.92438602686423,POINT(144.92438602686423 -37.797074763947734),"J J Holland Park is a public park in Melbourne, Melbourne."
55,Jolimont Reserve,0.8801,-37.81640436890003,144.9807712969875,POINT(144.9807712969875 -37.81640436890003),"Jolimont Reserve is a public park in Melbourne, Melbourne."
56,Kensington Banks Small Reserves,2.0101,-37.794277800344545,144.9214818692829,POINT(144.9214818692829 -37.794277800344545),"Kensington Banks Small Reserves is a public park in Melbourne, Melbourne."
57,Kensington Community Gardens,0.1458,-37.7937178820449,144.9206172099037,POINT(144.9206172099037 -37.7937178820449),"Kensington Community Gardens is a public park in Melbourne, Melbourne."
58,Kensington Hall Reserve,0.2754,-37.788573391106304,144.92855730197022,POINT(144.92855730197022 -37.788573391106304),"Kensington Hall Reserve is a public park in Melbourne, Melbourne."
59,Kensington Hall Reserve Parklands,0.2204,-37.78905734947679,144.92840535320124,POINT(144.92840535320124 -37.78905734947679),"Kensington Hall Reserve Parklands is a public park in Melbourne, Melbourne."
60,King & Victoria Street Reserve,0.0472,-37.80518658385143,144.9486282062408,POINT(144.9486282062408 -37.80518658385143),"King & Victoria Street Reserve is a public park in Melbourne, Melbourne."
61,Kings Domain South,8.614900000000002,-37.832351043772675,144.978420348584,POINT(144.978420348584 -37.832351043772675),"Kings Domain South is a public park in Melbourne, Melbourne."
62,Kings Domain South (Latrobe Cottage and Herring Oval),4.0339,-37.83179958424393,144.9755453802536,POINT(144.9755453802536 -37.83179958424393),"Kings Domain South (Latrobe Cottage and Herring Oval) is a public park in Melbourne, Melbourne."
63,Kings Domain South (Monash and Malta Monuments),2.2175,-37.828367768712475,144.97402636241267,POINT(144.97402636241267 -37.828367768712475),"Kings Domain South (Monash and Malta Monuments) is a public park in Melbourne, Melbourne."
64,La Trobe Cottage & Gardens,0.1079,-37.83025929800534,144.97638067070284,POINT(144.97638067070284 -37.83025929800534),"La Trobe Cottage & Gardens is a public park in Melbourne, Melbourne."
65,Leveson Street Reserve,0.10679999999999999,-37.80056827479672,144.95164467354908,POINT(144.95164467354908 -37.80056827479672),"Leveson Street Reserve is a public park in Melbourne, Melbourne."
66,Liddy Street Reserve,0.1229,-37.78999131490741,144.92560479542126,POINT(144.92560479542126 -37.78999131490741),"Liddy Street Reserve is a public park in Melbourne, Melbourne."
67,Lincoln Square,1.3262,-37.802419872423364,144.96288072706884,POINT(144.96288072706884 -37.802419872423364),"Lincoln Square is a public park in Melbourne, Melbourne."
68,Linlithgow Avenue Reserve (East),0.1284,-37.82192187729057,144.9740564590187,POINT(144.9740564590187 -37.82192187729057),"Linlithgow Avenue Reserve (East) is a public park in Melbourne, Melbourne."
69,Linlithgow Avenue Reserve (West),0.0481,-37.82318533525157,144.97114370468458,POINT(144.97114370468458 -37.82318533525157),"Linlithgow Avenue Reserve (West) is a public park in Melbourne, Melbourne."
70,Macarthur Square,0.3594,-37.79836598681039,144.97156683139985,POINT(144.97156683139985 -37.79836598681039),"Macarthur Square is a public park in Melbourne, Melbourne."
71,Manchester Lane Reserve,0.0389,-37.77749102319447,144.93859417043114,POINT(144.93859417043114 -37.77749102319447),"Manchester Lane Reserve is a public park in Melbourne, Melbourne."
72,Marquis of Linlithgow Memorial Reserve,0.2347,-37.82666548745958,144.97185594109587,POINT(144.97185594109587 -37.82666548745958),"Marquis of Linlithgow Memorial Reserve is a public park in Melbourne, Melbourne."
73,Merritts Place Reserve,0.0322,-37.814723475664444,144.95554302164828,POINT(144.95554302164828 -37.814723475664444),"Merritts Place Reserve is a public park in Melbourne, Melbourne."
74,Miles & Dodds Street Reserve,0.0586,-37.828688447323735,144.9673607078645,POINT(144.9673607078645 -37.828688447323735),"Miles & Dodds Street Reserve is a public park in Melbourne, Melbourne."
75,Miller Street Park,0.0273,-37.805640369025085,144.94270024498627,POINT(144.94270024498627 -37.805640369025085),"Miller Street Park is a public park in Melbourne, Melbourne."
76,Murchison Square,0.3767,-37.80021397675526,144.9730698062318,POINT(144.9730698062318 -37.80021397675526),"Murchison Square is a public park in Melbourne, Melbourne."
77,Neill Street Reserve,1.0315,-37.79536286569292,144.9694670481789,POINT(144.9694670481789 -37.79536286569292),"Neill Street Reserve is a public park in Melbourne, Melbourne."
78,North Melbourne Community Centre,1.1858,-37.79299594492714,144.93992175109076,POINT(144.93992175109076 -37.79299594492714),"North Melbourne Community Centre is a public park in Melbourne, Melbourne."
79,Park Street Gardens - Parkville,0.0782,-37.776117964814134,144.9425908684272,POINT(144.9425908684272 -37.776117964814134),"Park Street Gardens - Parkville is a public park in Melbourne, Melbourne."
80,Park Street Reserve,0.2714,-37.77582899348502,144.94141991078666,POINT(144.94141991078666 -37.77582899348502),"Park Street Reserve is a public park in Melbourne, Melbourne."
81,Parkville Gardens,0.6791,-37.7777415244049,144.93998206556316,POINT(144.93998206556316 -37.7777415244049),"Parkville Gardens is a public park in Melbourne, Melbourne."
82,Parkville Ornamental Plantation,0.1167,-37.78883587693899,144.95746601324595,POINT(144.95746601324595 -37.78883587693899),"Parkville Ornamental Plantation is a public park in Melbourne, Melbourne."
83,Parliament Gardens,0.7328,-37.809825933036365,144.97349687326735,POINT(144.97349687326735 -37.809825933036365),"Parliament Gardens is a public park in Melbourne, Melbourne."
84,Parliament Place,0.0638,-37.81163640745987,144.9758621028956,POINT(144.9758621028956 -37.81163640745987),"Parliament Place is a public park in Melbourne, Melbourne."
85,Parsons Street Reserve,0.1543,-37.79011636021723,144.9311223057085,POINT(144.9311223057085 -37.79011636021723),"Parsons Street Reserve is a public park in Melbourne, Melbourne."
86,Peppercorn Park,0.22519999999999998,-37.79251349397923,144.92266471658183,POINT(144.92266471658183 -37.79251349397923),"Peppercorn Park is a public park in Melbourne, Melbourne."
87,Pleasance Gardens,0.3683,-37.79634612229423,144.94565808483594,POINT(144.94565808483594 -37.79634612229423),"Pleasance Gardens is a public park in Melbourne, Melbourne."
88,Point Park,1.0143,-37.82338140618046,144.94213176228203,POINT(144.94213176228203 -37.82338140618046),"Point Park is a public park in Melbourne, Melbourne."
89,Powlett Reserve,1.8406,-37.811395015732415,144.98727212939656,POINT(144.98727212939656 -37.811395015732415),"Powlett Reserve is a public park in Melbourne, Melbourne."
90,Princes Park,0.7131,-37.77993522382766,144.96147887616942,POINT(144.96147887616942 -37.77993522382766),"Princes Park is a public park in Melbourne, Melbourne."
91,Quay Park,0.1652,-37.81570047865484,144.93749810906596,POINT(144.93749810906596 -37.81570047865484),"Quay Park is a public park in Melbourne, Melbourne."
92,Queen Victoria Gardens,0.6145,-37.82180994476816,144.97198674338154,POINT(144.97198674338154 -37.82180994476816),"Queen Victoria Gardens is a public park in Melbourne, Melbourne."
93,Queen Victoria Gardens & Memorial Statue,4.2407,-37.82189460768603,144.97108137630903,POINT(144.97108137630903 -37.82189460768603),"Queen Victoria Gardens & Memorial Statue is a public park in Melbourne, Melbourne."
94,Railway Place & Miller Street Reserve,0.2749,-37.805518317093835,144.94155959115193,POINT(144.94155959115193 -37.805518317093835),"Railway Place & Miller Street Reserve is a public park in Melbourne, Melbourne."
95,Railway Viewing Platform,0.0111,-37.80882028736457,144.94368330159398,POINT(144.94368330159398 -37.80882028736457),"Railway Viewing Platform is a public park in Melbourne, Melbourne."
96,River Esplanade,1.2212,-37.824315114069556,144.9455253889619,POINT(144.9455253889619 -37.824315114069556),"River Esplanade is a public park in Melbourne, Melbourne."
97,Riverside Park,0.25980000000000003,-37.79515950504673,144.91686757199585,POINT(144.91686757199585 -37.79515950504673),"Riverside Park is a public park in Melbourne, Melbourne."
98,Robertson Street Reserve,0.09,-37.793200304780456,144.93236015991985,POINT(144.93236015991985 -37.793200304780456),"Robertson Street Reserve is a public park in Melbourne, Melbourne."
99,Royal Botanic Gardens - Melbourne,37.9624,-37.83016827216869,144.98042903058655,POINT(144.98042903058655 -37.83016827216869),"Royal Botanic Gardens - Melbourne is a public park in Melbourne, Melbourne."
100,Royal College Of Surgeons Gardens,0.6157,-37.80859647041941,144.97236009444075,POINT(144.97236009444075 -37.80859647041941),"Royal College Of Surgeons Gardens is a public park in Melbourne, Melbourne."
101,Royal Park,83.8235,-37.78922077121199,144.9497571609021,POINT(144.9497571609021 -37.78922077121199),"Royal Park is a public park in Melbourne, Melbourne."
102,Royal Park Parkland,1.7067999999999999,-37.78872162577019,144.95534638222264,POINT(144.95534638222264 -37.78872162577019),"Royal Park Parkland is a public park in Melbourne, Melbourne."
103,Royal Park Wetlands,0.0924,-37.78353831450891,144.940331066586,POINT(144.940331066586 -37.78353831450891),"Royal Park Wetlands is a public park in Melbourne, Melbourne."
104,Royal Park Wetlands and Bushland,7.6709,-37.783148083782656,144.94466927730792,POINT(144.94466927730792 -37.783148083782656),"Royal Park Wetlands and Bushland is a public park in Melbourne, Melbourne."
105,Royal Society of Victoria,0.2253,-37.80768445178654,144.96923061543575,POINT(144.96923061543575 -37.80768445178654),"Royal Society of Victoria is a public park in Melbourne, Melbourne."
106,Scots Church,0.0048,-37.81476688114558,144.96840782979632,POINT(144.96840782979632 -37.81476688114558),"Scots Church is a public park in Melbourne, Melbourne."
107,Seafarers Rest,0.3551,-37.82295423579053,144.95143151976364,POINT(144.95143151976364 -37.82295423579053),"Seafarers Rest is a public park in Melbourne, Melbourne."
108,Shepherd Bridge Reserve,0.2717,-37.80550188575512,144.9083711317109,POINT(144.9083711317109 -37.80550188575512),"Shepherd Bridge Reserve is a public park in Melbourne, Melbourne."
109,Shrine of Remembrance Reserve,13.0001,-37.83039407493965,144.9730683791196,POINT(144.9730683791196 -37.83039407493965),"Shrine of Remembrance Reserve is a public park in Melbourne, Melbourne."
110,Spencer Street Plaza,0.0884,-37.81939853832556,144.95388769004333,POINT(144.95388769004333 -37.81939853832556),"Spencer Street Plaza is a public park in Melbourne, Melbourne."
111,St Andrews Place Reserve,0.0945,-37.812306005153346,144.97755665221544,POINT(144.97755665221544 -37.812306005153346),"St Andrews Place Reserve is a public park in Melbourne, Melbourne."
112,St Augustines Church,0.0706,-37.816911685545115,144.95491345137188,POINT(144.95491345137188 -37.816911685545115),"St Augustines Church is a public park in Melbourne, Melbourne."
113,St Marys,0.0136,-37.80584910057595,144.9534360503015,POINT(144.9534360503015 -37.80584910057595),"St Marys is a public park in Melbourne, Melbourne."
114,St Marys Church,0.0956,-37.80601912823117,144.9532153456881,POINT(144.9532153456881 -37.80601912823117),"St Marys Church is a public park in Melbourne, Melbourne."
115,Stapely Parade Reserve,3.0381,-37.8259582208074,144.98191104194032,POINT(144.98191104194032 -37.8259582208074),"Stapely Parade Reserve is a public park in Melbourne, Melbourne."
116,State Library Forecourt,0.3392,-37.8100269659297,144.96441944903114,POINT(144.96441944903114 -37.8100269659297),"State Library Forecourt is a public park in Melbourne, Melbourne."
117,Station Street Park,0.2549,-37.79722713348544,144.97385265693237,POINT(144.97385265693237 -37.79722713348544),"Station Street Park is a public park in Melbourne, Melbourne."
118,Stock Route Reserve,0.6937,-37.789131105921456,144.92573749696132,POINT(144.92573749696132 -37.789131105921456),"Stock Route Reserve is a public park in Melbourne, Melbourne."
119,Sturt Street Reserve,0.4807,-37.829802956516204,144.9648535607704,POINT(144.9648535607704 -37.829802956516204),"Sturt Street Reserve is a public park in Melbourne, Melbourne."
120,The Avenue Reserve (North),0.1916,-37.77872054002039,144.95959593741756,POINT(144.95959593741756 -37.77872054002039),"The Avenue Reserve (North) is a public park in Melbourne, Melbourne."
121,The Avenue Reserve (South),0.3027,-37.77976835544873,144.9590798702465,POINT(144.9590798702465 -37.77976835544873),"The Avenue Reserve (South) is a public park in Melbourne, Melbourne."
122,The Kings Domain Reserve,16.5913,-37.82505100509447,144.97382741822966,POINT(144.97382741822966 -37.82505100509447),"The Kings Domain Reserve is a public park in Melbourne, Melbourne."
123,The Kings Domain and Tan,5.0543,-37.82438725217185,144.9757616770565,POINT(144.9757616770565 -37.82438725217185),"The Kings Domain and Tan is a public park in Melbourne, Melbourne."
124,Treasury Gardens,5.7667,-37.814109880997094,144.97615228376898,POINT(144.97615228376898 -37.814109880997094),"Treasury Gardens is a public park in Melbourne, Melbourne."
125,University Square,1.5925,-37.801014585189876,144.96029265988176,POINT(144.96029265988176 -37.801014585189876),"University Square is a public park in Melbourne, Melbourne."
126,Victoria Green,0.4377,-37.82039287926157,144.94502729363222,POINT(144.94502729363222 -37.82039287926157),"Victoria Green is a public park in Melbourne, Melbourne."
127,Victoria Market Reserve,0.1915,-37.80923362878805,144.9578929038599,POINT(144.9578929038599 -37.80923362878805),"Victoria Market Reserve is a public park in Melbourne, Melbourne."
128,Warun Biik Park,0.7456,-37.796612048151935,144.92629866224635,POINT(144.92629866224635 -37.796612048151935),"Warun Biik Park is a public park in Melbourne, Melbourne."
129,Weedon Reserve,0.5979,-37.81712630925763,144.98896792832662,POINT(144.98896792832662 -37.81712630925763),"Weedon Reserve is a public park in Melbourne, Melbourne."
130,Wellington Crescent,0.0891,-37.81740023117743,144.97787797686678,POINT(144.97787797686678 -37.81740023117743),"Wellington Crescent is a public park in Melbourne, Melbourne."
131,Wellington Park,0.8809,-37.815988862596036,144.9771846319383,POINT(144.9771846319383 -37.815988862596036),"Wellington Park is a public park in Melbourne, Melbourne."
132,West Gate Park,0.7971,-37.82939818218406,144.90927535371316,POINT(144.90927535371316 -37.82939818218406),"West Gate Park is a public park in Melbourne, Melbourne."
133,Westbourne Road Reserve,1.7133999999999998,-37.79282934542849,144.92097795020763,POINT(144.92097795020763 -37.79282934542849),"Westbourne Road Reserve is a public park in Melbourne, Melbourne."
134,Westgate Park,32.4565,-37.831991510573474,144.90711286400094,POINT(144.90711286400094 -37.831991510573474),"Westgate Park is a public park in Melbourne, Melbourne."
135,Womens Peace Gardens,0.6596,-37.79114646195153,144.9239679160037,POINT(144.9239679160037 -37.79114646195153),"Womens Peace Gardens is a public park in Melbourne, Melbourne."
136,Yarra Park,27.745,-37.8195889115286,144.9854311196705,POINT(144.9854311196705 -37.8195889115286),"Yarra Park is a public park in Melbourne, Melbourne."
137,Yarra River Frontage,0.1729,-37.824529275028084,144.95391692042242,POINT(144.95391692042242 -37.824529275028084),"Yarra River Frontage is a public park in Melbourne, Melbourne."
